endpoint,descripcion,incurre_ia,reps,ok,promedio_ms,min_ms,max_ms,p95_ms
/analisis-terreno,Clima+suelo+precios (Tocancipá),False,8,8,2373.7,2042.3,3014.4,3014.4
"/opciones-cultivo (zona nueva, IA)","Municipio poco común, fuerza fallo de caché + búsqueda IA",True,1,1,55000.4,55000.4,55000.4,55000.4
/opciones-cultivo (con caché),Misma zona ya cacheada (Tocancipá),False,8,8,4276.4,4197.8,4330.0,4330.0
/plan-cultivo (apto),Zanahoria en Tocancipá (apto; incluye redacción IA),True,4,4,26654.7,23582.9,32916.9,32916.9
/plan-cultivo (no apto),"Cacao en Turmequé (rechazo por altitud, sin IA)",False,8,8,573.0,541.1,657.2,657.2
/calculo-directo,"Zanahoria en Tocancipá (motor puro, sin IA)",False,8,8,385.0,348.7,472.4,472.4
/buscar-insumos,Proveedores cercanos (Google Places),False,4,4,601.4,566.1,625.8,625.8
